Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
153049452,2025-10-15 21:00:00,"Bruton Street, Mayfair",1034,2025-10-15 21:00:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,22s,22562,0.37603333333333333,Invalid(<1 mins)
153049414,2025-10-15 20:58:00,"Wellington Street , Strand",1202,2025-10-15 20:58:00,"Wellington Street , Strand",1202,56653,CLASSIC,10s,10887,0.18145,Invalid(<1 mins)
153049224,2025-10-15 20:48:00,"Longford Street, The Regent's Park",976,2025-10-15 20:48:00,"Longford Street, The Regent's Park",976,62983,PBSC_EBIKE,9s,9390,0.1565,Invalid(<1 mins)
153049173,2025-10-15 20:46:00,"New Road 1 , Whitechapel",1171,2025-10-15 20:46:00,"Royal London Hospital, Whitechapel",1077,20992,CLASSIC,40s,40574,0.6762333333333334,Invalid(<1 mins)
153049186,2025-10-15 20:46:00,"Normand Park, West Kensington",300008,2025-10-15 20:47:00,"Normand Park, West Kensington",300008,58888,CLASSIC,14s,14176,0.23626666666666668,Invalid(<1 mins)
153049083,2025-10-15 20:41:00,"Blenheim Crescent, Ladbroke Grove",300090,2025-10-15 20:41:00,"Blenheim Crescent, Ladbroke Grove",300090,55751,CLASSIC,8s,8259,0.13765,Invalid(<1 mins)
153048969,2025-10-15 20:36:00,"Binfield Road, Stockwell",300015,2025-10-15 20:36:00,"Binfield Road, Stockwell",300015,50781,CLASSIC,3s,3219,0.05365,Invalid(<1 mins)
153048236,2025-10-15 20:06:00,"Ashley Place, Victoria",1122,2025-10-15 20:06:00,"Ashley Place, Victoria",1122,23792,CLASSIC,8s,8235,0.13725,Invalid(<1 mins)
153048242,2025-10-15 20:06:00,"Bruton Street, Mayfair",1034,2025-10-15 20:07:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,46s,46662,0.7777,Invalid(<1 mins)
153048224,2025-10-15 20:06:00,"Webber Street , Southwark",3448,2025-10-15 20:06:00,"Webber Street , Southwark",3448,58362,CLASSIC,12s,12833,0.21388333333333334,Invalid(<1 mins)
153048161,2025-10-15 20:03:00,"Sandilands Road, Walham Green",300001,2025-10-15 20:04:00,"Sandilands Road, Walham Green",300001,56020,CLASSIC,33s,33792,0.5632,Invalid(<1 mins)
153048049,2025-10-15 19:59:00,"Clifford Street, Mayfair",2688,2025-10-15 19:59:00,"Clifford Street, Mayfair",2688,59228,CLASSIC,16s,16556,0.2759333333333333,Invalid(<1 mins)
153047919,2025-10-15 19:55:00,"Pont Street, Knightsbridge",1114,2025-10-15 19:56:00,"Pont Street, Knightsbridge",1114,59850,CLASSIC,36s,36887,0.6147833333333333,Invalid(<1 mins)
153047712,2025-10-15 19:48:00,"Watney Street, Shadwell",200149,2025-10-15 19:48:00,"Watney Street, Shadwell",200149,55689,CLASSIC,15s,15199,0.2533166666666667,Invalid(<1 mins)
153047627,2025-10-15 19:45:00,"Pont Street, Knightsbridge",1114,2025-10-15 19:45:00,"Pont Street, Knightsbridge",1114,59850,CLASSIC,31s,31743,0.52905,Invalid(<1 mins)
153047424,2025-10-15 19:38:00,"Palissy Street, Shoreditch",3502,2025-10-15 19:38:00,"Palissy Street, Shoreditch",3502,55184,CLASSIC,2s,2758,0.04596666666666667,Invalid(<1 mins)
153046922,2025-10-15 19:22:00,"Millennium Hotel, Mayfair",1230,2025-10-15 19:22:00,"Millennium Hotel, Mayfair",1230,58501,CLASSIC,7s,7047,0.11745,Invalid(<1 mins)
153046845,2025-10-15 19:20:00,"Eel Brook Common, Walham Green",300003,2025-10-15 19:21:00,"Eel Brook Common, Walham Green",300003,62274,PBSC_EBIKE,53s,53192,0.8865333333333333,Invalid(<1 mins)
153046452,2025-10-15 19:10:00,"Clifton Road, Maida Vale",1147,2025-10-15 19:11:00,"Clifton Road, Maida Vale",1147,51602,CLASSIC,50s,50332,0.8388666666666666,Invalid(<1 mins)
153046191,2025-10-15 19:04:00,"St. Mark's Road, North Kensington",300034,2025-10-15 19:05:00,"St. Mark's Road, North Kensington",300034,22335,CLASSIC,57s,57436,0.9572666666666667,Invalid(<1 mins)
153046131,2025-10-15 19:03:00,"Gas Holders, Battersea Park",300216,2025-10-15 19:03:00,"Gas Holders, Battersea Park",300216,22647,CLASSIC,2s,2617,0.043616666666666665,Invalid(<1 mins)
153045897,2025-10-15 18:57:00,"Cephas Street, Bethnal Green",200073,2025-10-15 18:58:00,"Cephas Street, Bethnal Green",200073,51985,CLASSIC,59s,59937,0.99895,Invalid(<1 mins)
153045762,2025-10-15 18:54:00,"Stephendale Road, Sands End",300053,2025-10-15 18:54:00,"Stephendale Road, Sands End",300053,59819,CLASSIC,27s,27504,0.4584,Invalid(<1 mins)
153045404,2025-10-15 18:46:00,"Storey's Gate, Westminster",200202,2025-10-15 18:46:00,"Storey's Gate, Westminster",200202,64122,PBSC_EBIKE,27s,27492,0.4582,Invalid(<1 mins)
153045403,2025-10-15 18:46:00,"North Audley Street, Mayfair",1126,2025-10-15 18:46:00,"North Audley Street, Mayfair",1126,51788,CLASSIC,37s,37374,0.6229,Invalid(<1 mins)
153045189,2025-10-15 18:41:00,"Bruton Street, Mayfair",1034,2025-10-15 18:42:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,35s,35265,0.58775,Invalid(<1 mins)
153044937,2025-10-15 18:36:00,"Wren Street, Holborn",22169,2025-10-15 18:36:00,"Wren Street, Holborn",22169,30034,CLASSIC,9s,9547,0.15911666666666666,Invalid(<1 mins)
153044850,2025-10-15 18:34:00,"Cranmer Road, Stockwell",300247,2025-10-15 18:34:00,"Cranmer Road, Stockwell",300247,58637,CLASSIC,11s,11438,0.19063333333333332,Invalid(<1 mins)
153044759,2025-10-15 18:32:00,"Usk Road, Clapham Junction",200126,2025-10-15 18:32:00,"Usk Road, Clapham Junction",200126,62417,PBSC_EBIKE,6s,6444,0.1074,Invalid(<1 mins)
153044773,2025-10-15 18:33:00,"Phene Street, Chelsea",200189,2025-10-15 18:33:00,"Phene Street, Chelsea",200189,20222,CLASSIC,12s,12895,0.21491666666666667,Invalid(<1 mins)
153044621,2025-10-15 18:30:00,"Westferry Circus, Canary Wharf",300228,2025-10-15 18:30:00,"Westferry Circus, Canary Wharf",300228,22418,CLASSIC,7s,7266,0.1211,Invalid(<1 mins)
153044417,2025-10-15 18:27:00,"Maplin Street, Mile End",200230,2025-10-15 18:27:00,"Maplin Street, Mile End",200230,55405,CLASSIC,11s,11014,0.18356666666666666,Invalid(<1 mins)
153044394,2025-10-15 18:26:00,"Brunswick Square, Bloomsbury",1022,2025-10-15 18:26:00,"Brunswick Square, Bloomsbury",1022,20203,CLASSIC,3s,3520,0.058666666666666666,Invalid(<1 mins)
153044184,2025-10-15 18:23:00,"Webber Street , Southwark",3448,2025-10-15 18:23:00,"Webber Street , Southwark",3448,58362,CLASSIC,26s,26368,0.43946666666666667,Invalid(<1 mins)
153044019,2025-10-15 18:20:00,"Bethnal Green Road, Shoreditch",973,2025-10-15 18:20:00,"Bethnal Green Road, Shoreditch",973,62513,PBSC_EBIKE,16s,16987,0.2831166666666667,Invalid(<1 mins)
153044032,2025-10-15 18:20:00,"Maplin Street, Mile End",200230,2025-10-15 18:21:00,"Maplin Street, Mile End",200230,62762,PBSC_EBIKE,48s,48011,0.8001833333333334,Invalid(<1 mins)
153043936,2025-10-15 18:18:00,"Berry Street, Clerkenwell",1159,2025-10-15 18:19:00,"Berry Street, Clerkenwell",1159,52751,CLASSIC,29s,29527,0.49211666666666665,Invalid(<1 mins)
153043797,2025-10-15 18:16:00,"Bruton Street, Mayfair",1034,2025-10-15 18:17:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,26s,26040,0.434,Invalid(<1 mins)
153043660,2025-10-15 18:14:00,"The Guildhall, Guildhall",1044,2025-10-15 18:14:00,"The Guildhall, Guildhall",1044,54206,CLASSIC,8s,8415,0.14025,Invalid(<1 mins)
153043596,2025-10-15 18:13:00,"Bow Church Station, Bow",200252,2025-10-15 18:14:00,"Bow Church Station, Bow",200252,60123,PBSC_EBIKE,29s,29647,0.49411666666666665,Invalid(<1 mins)
153043385,2025-10-15 18:10:00,"Hatton Garden, Holborn",985,2025-10-15 18:10:00,"Hatton Garden, Holborn",985,62761,PBSC_EBIKE,3s,3971,0.06618333333333333,Invalid(<1 mins)
153043193,2025-10-15 18:07:00,"Albert Gate, Hyde Park",1132,2025-10-15 18:08:00,"Albert Gate, Hyde Park",1132,42129,CLASSIC,27s,27340,0.45566666666666666,Invalid(<1 mins)
153043164,2025-10-15 18:07:00,"Garnet Street, Shadwell",200045,2025-10-15 18:07:00,"Garnet Street, Shadwell",200045,62380,PBSC_EBIKE,6s,6111,0.10185,Invalid(<1 mins)
153042874,2025-10-15 18:02:00,"Great Percy Street, Clerkenwell",3470,2025-10-15 18:02:00,"Great Percy Street, Clerkenwell",3470,62032,PBSC_EBIKE,4s,4680,0.078,Invalid(<1 mins)
153042832,2025-10-15 18:01:00,"Frith Street, Soho",2660,2025-10-15 18:01:00,"Frith Street, Soho",2660,54687,CLASSIC,7s,7292,0.12153333333333333,Invalid(<1 mins)
153042376,2025-10-15 17:54:00,"Bruton Street, Mayfair",1034,2025-10-15 17:54:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,5s,5172,0.0862,Invalid(<1 mins)
153042409,2025-10-15 17:54:00,"Rampayne Street, Pimlico",1106,2025-10-15 17:54:00,"Rampayne Street, Pimlico",1106,57016,CLASSIC,5s,5155,0.08591666666666667,Invalid(<1 mins)
153042296,2025-10-15 17:53:00,"Ferndale Road, Brixton",200240,2025-10-15 17:53:00,"Ferndale Road, Brixton",200240,50521,CLASSIC,22s,22423,0.37371666666666664,Invalid(<1 mins)
153042162,2025-10-15 17:50:00,"Nutford Place, Marylebone",1112,2025-10-15 17:50:00,"Nutford Place, Marylebone",1112,62742,PBSC_EBIKE,3s,3326,0.055433333333333334,Invalid(<1 mins)
153042061,2025-10-15 17:49:00,"Handyside Street, King's Cross",300241,2025-10-15 17:50:00,"Handyside Street, King's Cross",300241,53024,CLASSIC,31s,31133,0.5188833333333334,Invalid(<1 mins)
153042083,2025-10-15 17:49:00,"Pitfield Street North,Hoxton",200152,2025-10-15 17:49:00,"Pitfield Street North,Hoxton",200152,51399,CLASSIC,4s,4291,0.07151666666666667,Invalid(<1 mins)
153042002,2025-10-15 17:48:00,"Wapping Lane, Wapping",200034,2025-10-15 17:49:00,"Wapping Lane, Wapping",200034,57916,CLASSIC,36s,36431,0.6071833333333333,Invalid(<1 mins)
153041650,2025-10-15 17:43:00,"Tanner Street, Bermondsey",994,2025-10-15 17:43:00,"Tanner Street, Bermondsey",994,59985,CLASSIC,3s,3626,0.06043333333333333,Invalid(<1 mins)
153041500,2025-10-15 17:41:00,"Braham Street, Aldgate",1062,2025-10-15 17:41:00,"Braham Street, Aldgate",1062,41189,CLASSIC,22s,22617,0.37695,Invalid(<1 mins)
153041442,2025-10-15 17:40:00,"Jewry Street, Aldgate",1045,2025-10-15 17:41:00,"Jewry Street, Aldgate",1045,42260,CLASSIC,43s,43703,0.7283833333333334,Invalid(<1 mins)
153041264,2025-10-15 17:37:00,"Jewry Street, Aldgate",1045,2025-10-15 17:38:00,"Jewry Street, Aldgate",1045,42260,CLASSIC,17s,17906,0.29843333333333333,Invalid(<1 mins)
153041278,2025-10-15 17:37:00,"Manresa Road, Chelsea",200010,2025-10-15 17:38:00,"Manresa Road, Chelsea",200010,51906,CLASSIC,20s,20553,0.34255,Invalid(<1 mins)
153041192,2025-10-15 17:36:00,"Mile End Park Leisure Centre, Mile End",300027,2025-10-15 17:36:00,"Mile End Park Leisure Centre, Mile End",300027,59521,CLASSIC,7s,7021,0.11701666666666667,Invalid(<1 mins)
153041085,2025-10-15 17:35:00,"Hartington Road, Stockwell",200207,2025-10-15 17:35:00,"Hartington Road, Stockwell",200207,62414,PBSC_EBIKE,3s,3250,0.05416666666666667,Invalid(<1 mins)
153041054,2025-10-15 17:34:00,"Bank of England Museum, Bank",1201,2025-10-15 17:34:00,"Bank of England Museum, Bank",1201,60532,PBSC_EBIKE,5s,5149,0.08581666666666667,Invalid(<1 mins)
153041012,2025-10-15 17:34:00,"Fore Street, Guildhall",300222,2025-10-15 17:34:00,"Fore Street, Guildhall",300222,52768,CLASSIC,4s,4722,0.0787,Invalid(<1 mins)
153041027,2025-10-15 17:34:00,"Butler Place, Westminster",2662,2025-10-15 17:34:00,"Butler Place, Westminster",2662,56827,CLASSIC,10s,10248,0.1708,Invalid(<1 mins)
153040752,2025-10-15 17:29:00,"Vauxhall Walk, Vauxhall",200056,2025-10-15 17:30:00,"Vauxhall Walk, Vauxhall",200056,52324,CLASSIC,35s,35696,0.5949333333333333,Invalid(<1 mins)
153040619,2025-10-15 17:27:00,"Hop Exchange, The Borough",960,2025-10-15 17:27:00,"Hop Exchange, The Borough",960,22439,CLASSIC,23s,23774,0.3962333333333333,Invalid(<1 mins)
153040464,2025-10-15 17:24:00,"Royal London Hospital, Whitechapel",1077,2025-10-15 17:24:00,"Royal London Hospital, Whitechapel",1077,59756,CLASSIC,31s,31638,0.5273,Invalid(<1 mins)
153040283,2025-10-15 17:21:00,"Belgrave Road, Victoria",1087,2025-10-15 17:22:00,"Belgrave Road, Victoria",1087,54896,CLASSIC,35s,35510,0.5918333333333333,Invalid(<1 mins)
153040211,2025-10-15 17:20:00,"Hollybush Gardens, Bethnal Green",200244,2025-10-15 17:20:00,"Hollybush Gardens, Bethnal Green",200244,62790,PBSC_EBIKE,8s,8324,0.13873333333333332,Invalid(<1 mins)
153040215,2025-10-15 17:20:00,"Bonny Street, Camden Town",200105,2025-10-15 17:20:00,"Bonny Street, Camden Town",200105,50230,CLASSIC,6s,6596,0.10993333333333333,Invalid(<1 mins)
153040219,2025-10-15 17:20:00,"Crinan Street, King's Cross",22183,2025-10-15 17:20:00,"Crinan Street, King's Cross",22183,23267,CLASSIC,17s,17354,0.28923333333333334,Invalid(<1 mins)
153039973,2025-10-15 17:16:00,"All Saints Church, Portobello",300023,2025-10-15 17:16:00,"All Saints Church, Portobello",300023,56059,CLASSIC,20s,20302,0.33836666666666665,Invalid(<1 mins)
153039922,2025-10-15 17:15:00,"Malet Street, Bloomsbury",980,2025-10-15 17:15:00,"Malet Street, Bloomsbury",980,64204,CLASSIC,4s,4255,0.07091666666666667,Invalid(<1 mins)
153039057,2025-10-15 16:59:00,"Ackroyd Drive, Bow",200038,2025-10-15 16:59:00,"Ackroyd Drive, Bow",200038,57213,CLASSIC,3s,3386,0.056433333333333335,Invalid(<1 mins)
153039034,2025-10-15 16:58:00,"Ormonde Gate, Chelsea",300089,2025-10-15 16:59:00,"Ormonde Gate, Chelsea",300089,60116,PBSC_EBIKE,36s,36312,0.6052,Invalid(<1 mins)
153039002,2025-10-15 16:57:00,"Baylis Road, Waterloo",1133,2025-10-15 16:57:00,"Baylis Road, Waterloo",1133,54526,CLASSIC,7s,7111,0.11851666666666667,Invalid(<1 mins)
153039004,2025-10-15 16:57:00,"Webber Street , Southwark",3448,2025-10-15 16:58:00,"Webber Street , Southwark",3448,58362,CLASSIC,15s,15414,0.2569,Invalid(<1 mins)
153038951,2025-10-15 16:56:00,"Ram Street, Wandsworth",200079,2025-10-15 16:56:00,"Ram Street, Wandsworth",200079,50181,CLASSIC,11s,11378,0.18963333333333332,Invalid(<1 mins)
153038822,2025-10-15 16:52:00,"Queen Mary's, Mile End",200249,2025-10-15 16:52:00,"Queen Mary's, Mile End",200249,58843,CLASSIC,3s,3132,0.0522,Invalid(<1 mins)
153038777,2025-10-15 16:51:00,"Moorfields, Moorgate",1092,2025-10-15 16:51:00,"Moorfields, Moorgate",1092,62257,PBSC_EBIKE,5s,5190,0.0865,Invalid(<1 mins)
153038780,2025-10-15 16:51:00,"Broadwick Street, Soho",3489,2025-10-15 16:52:00,"Broadwick Street, Soho",3489,30742,CLASSIC,52s,52077,0.86795,Invalid(<1 mins)
153038608,2025-10-15 16:47:00,"St. Mark's Road, North Kensington",300034,2025-10-15 16:47:00,"St. Mark's Road, North Kensington",300034,56397,CLASSIC,25s,25103,0.41838333333333333,Invalid(<1 mins)
153038262,2025-10-15 16:38:00,"Broadwick Street, Soho",3489,2025-10-15 16:39:00,"Broadwick Street, Soho",3489,21915,CLASSIC,47s,47807,0.7967833333333333,Invalid(<1 mins)
153038190,2025-10-15 16:36:00,"Stanhope Gate, Mayfair",3506,2025-10-15 16:36:00,"Stanhope Gate, Mayfair",3506,58645,CLASSIC,2s,2568,0.0428,Invalid(<1 mins)
153037988,2025-10-15 16:31:00,"Cleveland Gardens, Bayswater",1178,2025-10-15 16:32:00,"Cleveland Gardens, Bayswater",1178,56991,CLASSIC,38s,38474,0.6412333333333333,Invalid(<1 mins)
153037770,2025-10-15 16:23:00,"Ravenscourt Park Station, Hammersmith",300037,2025-10-15 16:24:00,"Ravenscourt Park Station, Hammersmith",300037,41668,CLASSIC,7s,7162,0.11936666666666666,Invalid(<1 mins)
153037606,2025-10-15 16:18:00,"Queen Victoria Street, St. Paul's",1048,2025-10-15 16:18:00,"Queen Victoria Street, St. Paul's",1048,56074,CLASSIC,7s,7971,0.13285,Invalid(<1 mins)
153037349,2025-10-15 16:09:00,"Central House, Aldgate",3430,2025-10-15 16:10:00,"Central House, Aldgate",3430,56465,CLASSIC,8s,8894,0.14823333333333333,Invalid(<1 mins)
153037298,2025-10-15 16:08:00,"Battersea Park Road, Nine Elms",200183,2025-10-15 16:08:00,"Battersea Park Road, Nine Elms",200183,59586,CLASSIC,2s,2611,0.04351666666666667,Invalid(<1 mins)
153037075,2025-10-15 16:00:00,"Vauxhall Cross, Vauxhall",1000,2025-10-15 16:00:00,"Vauxhall Cross, Vauxhall",1000,41987,CLASSIC,4s,4735,0.07891666666666666,Invalid(<1 mins)
153036887,2025-10-15 15:51:00,"Nutford Place, Marylebone",1112,2025-10-15 15:52:00,"Nutford Place, Marylebone",1112,59040,CLASSIC,44s,44802,0.7467,Invalid(<1 mins)
153036893,2025-10-15 15:51:00,"Sardinia Street, Holborn",2649,2025-10-15 15:52:00,"Sardinia Street, Holborn",2649,62700,PBSC_EBIKE,23s,23648,0.39413333333333334,Invalid(<1 mins)
153036569,2025-10-15 15:38:00,"Queen Mary's, Mile End",200249,2025-10-15 15:39:00,"Queen Mary's, Mile End",200249,59998,CLASSIC,54s,54412,0.9068666666666667,Invalid(<1 mins)
153036390,2025-10-15 15:30:00,"Milroy Walk, South Bank",959,2025-10-15 15:30:00,"Milroy Walk, South Bank",959,56587,CLASSIC,4s,4716,0.0786,Invalid(<1 mins)
153035575,2025-10-15 14:54:00,"Chapel Place, Marylebone",1003,2025-10-15 14:54:00,"Chapel Place, Marylebone",1003,62356,PBSC_EBIKE,36s,36014,0.6002333333333333,Invalid(<1 mins)
153035554,2025-10-15 14:52:00,"Chapel Place, Marylebone",1003,2025-10-15 14:53:00,"Chapel Place, Marylebone",1003,62019,PBSC_EBIKE,9s,9021,0.15035,Invalid(<1 mins)
153035344,2025-10-15 14:43:00,"Kennington Road, Vauxhall",1154,2025-10-15 14:44:00,"Kennington Road, Vauxhall",1154,56065,CLASSIC,55s,55669,0.9278166666666666,Invalid(<1 mins)
153035367,2025-10-15 14:43:00,"Phillimore Gardens, Kensington",1018,2025-10-15 14:44:00,"Phillimore Gardens, Kensington",1018,58775,CLASSIC,37s,37247,0.6207833333333334,Invalid(<1 mins)
153035322,2025-10-15 14:42:00,"Malet Street, Bloomsbury",980,2025-10-15 14:42:00,"Malet Street, Bloomsbury",980,64204,CLASSIC,7s,7604,0.12673333333333334,Invalid(<1 mins)
153035237,2025-10-15 14:38:00,"Greenland Road, Camden Town",200026,2025-10-15 14:38:00,"Greenland Road, Camden Town",200026,31066,CLASSIC,37s,37816,0.6302666666666666,Invalid(<1 mins)
153035163,2025-10-15 14:34:00,"Dorset Square, Marylebone",1162,2025-10-15 14:35:00,"Dorset Square, Marylebone",1162,54645,CLASSIC,15s,15933,0.26555,Invalid(<1 mins)
153034926,2025-10-15 14:24:00,"Selby Street, Whitechapel",200135,2025-10-15 14:24:00,"Selby Street, Whitechapel",200135,23219,CLASSIC,2s,2755,0.04591666666666667,Invalid(<1 mins)
153034894,2025-10-15 14:23:00,"Royal London Hospital, Whitechapel",1077,2025-10-15 14:23:00,"Royal London Hospital, Whitechapel",1077,53908,CLASSIC,7s,7617,0.12695,Invalid(<1 mins)
153034674,2025-10-15 14:12:00,"Caldwell Street, Stockwell",200137,2025-10-15 14:12:00,"Caldwell Street, Stockwell",200137,60215,PBSC_EBIKE,36s,36343,0.6057166666666667,Invalid(<1 mins)
153034570,2025-10-15 14:08:00,"Cleveland Way, Stepney",200250,2025-10-15 14:08:00,"Cleveland Way, Stepney",200250,56886,CLASSIC,7s,7542,0.1257,Invalid(<1 mins)
153034464,2025-10-15 14:02:00,"Drayton Gardens, West Chelsea",200060,2025-10-15 14:03:00,"Limerston Street, West Chelsea",200001,30185,CLASSIC,54s,54239,0.9039833333333334,Invalid(<1 mins)
153034430,2025-10-15 14:01:00,"Elysium Place, Fulham",200028,2025-10-15 14:01:00,"Elysium Place, Fulham",200028,50240,CLASSIC,9s,9134,0.15223333333333333,Invalid(<1 mins)
153034271,2025-10-15 13:54:00,"Union Grove, Wandsworth Road",200211,2025-10-15 13:55:00,"Union Grove, Wandsworth Road",200211,41788,CLASSIC,39s,39488,0.6581333333333333,Invalid(<1 mins)
153033996,2025-10-15 13:41:00,"Shoreditch Park, Hoxton",1051,2025-10-15 13:41:00,"Shoreditch Park, Hoxton",1051,62433,PBSC_EBIKE,7s,7997,0.13328333333333334,Invalid(<1 mins)
153033839,2025-10-15 13:35:00,"Gas Holders, Battersea Park",300216,2025-10-15 13:35:00,"Gas Holders, Battersea Park",300216,41848,CLASSIC,9s,9455,0.15758333333333333,Invalid(<1 mins)
153033747,2025-10-15 13:30:00,"Flood Street, Chelsea",1218,2025-10-15 13:31:00,"Flood Street, Chelsea",1218,54028,CLASSIC,31s,31058,0.5176333333333333,Invalid(<1 mins)
153033729,2025-10-15 13:29:00,"Great Tower Street, Monument",1080,2025-10-15 13:29:00,"Great Tower Street, Monument",1080,62962,PBSC_EBIKE,8s,8183,0.13638333333333333,Invalid(<1 mins)
153033669,2025-10-15 13:26:00,"Leman Street, Aldgate",1102,2025-10-15 13:27:00,"Leman Street, Aldgate",1102,52825,CLASSIC,42s,42520,0.7086666666666667,Invalid(<1 mins)
153033622,2025-10-15 13:24:00,"De Vere Gardens, Kensington",3446,2025-10-15 13:25:00,"De Vere Gardens, Kensington",3446,54452,CLASSIC,39s,39771,0.66285,Invalid(<1 mins)
153033519,2025-10-15 13:20:00,"Exhibition Road, Knightsbridge",22179,2025-10-15 13:20:00,"Exhibition Road, Knightsbridge",22179,50631,CLASSIC,15s,15231,0.25385,Invalid(<1 mins)
153033471,2025-10-15 13:17:00,"Notting Hill Gate Station, Notting Hill",1182,2025-10-15 13:17:00,"Notting Hill Gate Station, Notting Hill",1182,55066,CLASSIC,9s,9339,0.15565,Invalid(<1 mins)
153033380,2025-10-15 13:13:00,"Queen Street 1, Bank",999,2025-10-15 13:13:00,"Queen Street 1, Bank",999,62839,PBSC_EBIKE,15s,15825,0.26375,Invalid(<1 mins)
153033374,2025-10-15 13:12:00,"Craven Street, Strand",1160,2025-10-15 13:13:00,"Craven Street, Strand",1160,50851,CLASSIC,9s,9219,0.15365,Invalid(<1 mins)
153033379,2025-10-15 13:13:00,"Shadwell Station, Shadwell",200020,2025-10-15 13:13:00,"Shadwell Station, Shadwell",200020,63477,PBSC_EBIKE,14s,14283,0.23805,Invalid(<1 mins)
153033234,2025-10-15 13:06:00,"Battersea Park Road, Nine Elms",200183,2025-10-15 13:06:00,"Battersea Park Road, Nine Elms",200183,52811,CLASSIC,11s,11740,0.19566666666666666,Invalid(<1 mins)
153033153,2025-10-15 13:01:00,"Christian Street, Whitechapel",22177,2025-10-15 13:02:00,"Christian Street, Whitechapel",22177,55712,CLASSIC,50s,50862,0.8477,Invalid(<1 mins)
153033070,2025-10-15 12:58:00,"Albert Gate, Hyde Park",1132,2025-10-15 12:58:00,"Albert Gate, Hyde Park",1132,57212,CLASSIC,11s,11671,0.19451666666666667,Invalid(<1 mins)
153033006,2025-10-15 12:55:00,"Pall Mall East, West End",1153,2025-10-15 12:55:00,"Pall Mall East, West End",1153,62728,PBSC_EBIKE,4s,4847,0.08078333333333333,Invalid(<1 mins)
153032922,2025-10-15 12:51:00,"Ansell House, Stepney",200148,2025-10-15 12:51:00,"Ansell House, Stepney",200148,52961,CLASSIC,8s,8414,0.14023333333333332,Invalid(<1 mins)
153032893,2025-10-15 12:49:00,"Central House, Aldgate",3430,2025-10-15 12:50:00,"Central House, Aldgate",3430,56465,CLASSIC,15s,15425,0.25708333333333333,Invalid(<1 mins)
153032870,2025-10-15 12:49:00,"Central House, Aldgate",3430,2025-10-15 12:49:00,"Central House, Aldgate",3430,53248,CLASSIC,38s,38662,0.6443666666666666,Invalid(<1 mins)
153032838,2025-10-15 12:47:00,"Trebovir Road, Earl's Court",1113,2025-10-15 12:48:00,"Trebovir Road, Earl's Court",1113,55763,CLASSIC,49s,49021,0.8170166666666666,Invalid(<1 mins)
